elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.004717, 10.004717, 101189, 368, 543.2, 539, 644, 682, 865, 14686, 0
20.008212, 10.003495, 40939, 391, 544.7, 540, 640, 677, 763, 59239, 0
30.015633, 10.007421, 71263, 389, 541.5, 538, 638, 674, 729, 59184, 0
40.010247, 9.994614, 70478, 395, 543.9, 540, 642, 681, 767, 8149, 0
50.018859, 10.008612, 70607, 393, 546.1, 543, 643, 679, 740, 15425, 0
60.006157, 9.987298, 70585, 391, 546.2, 538, 642, 685, 1084, 130792, 0
70.012891, 10.006734, 71586, 387, 539.0, 535, 636, 671, 722, 30703, 0
80.024189, 10.011298, 69814, 388, 551.3, 546, 651, 694, 1155, 15256, 0
90.006578, 9.982389, 70392, 382, 545.1, 540, 642, 679, 887, 10654, 0
100.01489, 10.008312, 70121, 387, 550.5, 546, 647, 684, 851, 16088, 0
110.006386, 9.991496, 71431, 393, 539.1, 534, 637, 675, 760, 15683, 0
120.002411, 9.996025, 70297, 391, 550.6, 545, 645, 681, 809, 141872, 0
130.01611, 10.013699, 71327, 393, 540.1, 535, 637, 679, 1036, 16076, 0
140.011167, 9.995057, 70479, 394, 549.2, 543, 646, 684, 739, 144170, 0
150.015443, 10.004276, 70982, 389, 541.9, 539, 638, 675, 740, 15050, 0
160.01659, 10.001147, 71122, 390, 543.7, 539, 638, 672, 721, 147303, 0
170.002417, 9.985827, 70840, 387, 541.3, 538, 638, 673, 732, 8040, 0
180.00713, 10.004713, 70445, 390, 547.1, 543, 643, 678, 749, 16140, 0
190.025411, 10.018281, 71345, 392, 541.5, 534, 638, 680, 1119, 36597, 0
200.016338, 9.990927, 70930, 389, 541.3, 535, 639, 683, 1137, 12508, 0
210.02316, 10.006822, 70585, 388, 542.1, 537, 638, 674, 874, 14383, 0
220.008927, 9.985767, 70506, 394, 545.8, 543, 641, 676, 747, 15576, 0
230.025473, 10.016546, 70990, 392, 543.6, 540, 639, 675, 752, 16524, 0
240.010818, 9.985345, 70346, 393, 547.2, 543, 643, 678, 729, 55032, 0
250.019183, 10.008365, 70181, 394, 549.5, 544, 649, 691, 1093, 16230, 0
260.019085, 9.999902, 69980, 393, 550.2, 543, 646, 689, 1337, 16809, 0
270.005082, 9.985997, 71092, 386, 542.7, 539, 641, 676, 724, 16724, 0
280.02007, 10.014988, 70202, 397, 551.7, 547, 648, 683, 749, 95329, 0
290.008911, 9.988841, 69870, 399, 550.8, 547, 649, 688, 840, 15181, 0
300.005578, 9.996667, 70260, 392, 548.0, 544, 643, 678, 756, 16540, 0
301.112149, 1.106571, 6834, 390, 548.5, 544, 643, 678, 750, 70440, 0
